--------------
select occupation,count(*),zipcode from Residents where zipcode = '02108' group by occupation ORDER BY 2 desc
--------------

occupation	count(*)	zipcode
ASST DEAN	1	02108
NURSE PRACTIONR	1	02108
LEGAL ASSIST	1	02108
APPRAISER	1	02108
FINANCE ANALYST	1	02108
STUDNET	1	02108
ADMIN	1	02108
INVESTMENT SALE	1	02108
SVP GE	1	02108
UNKNOQN	1	02108
INFANT TEACHER	1	02108
FINANCL ANALYST	1	02108
DOORMAN	1	02108
VENTURE CPTLST	1	02108
HUMAN RESOURCES	1	02108
OPTOMETRY STDNT	1	02108
VIDEO EDITOR	1	02108
HOUSE WIFE	1	02108
SOUND ENGINEER	1	02108
HOUSEKEEPINGH	1	02108
VICE PRESIDENT	1	02108
TECH SPCLST	1	02108
SFTWR DVLMT	1	02108
PSYCHIC	1	02108
MARKETING DIREC	1	02108
TRAVEL GUIDE	1	02108
LEGAL ASST	1	02108
RESEARCH ASSOCI	1	02108
H.S. TEACHER	1	02108
EXEC	1	02108
GENERAL MANAGER	1	02108
MARKETER	1	02108
BALLET DANCER	1	02108
ASSET MANAGER	1	02108
RN	1	02108
PROJECT MGR.	1	02108
C F O	1	02108
DIRCT PROF SERV	1	02108
INSTRUCTOR	1	02108
FINANCIAL SRVCS	1	02108
IT	1	02108
ADVISOR	1	02108
ATTORNEY AT LAW	1	02108
FINANCIAL INV.	1	02108
RESTAURANT	1	02108
RECRUITER	1	02108
PYSICIAN ASSIST	1	02108
CHIEF FINANCE	1	02108
HAIR DRESSER	1	02108
PROJ MANAGER	1	02108
HLTH CARE CONS	1	02108
US NAVY OFFICER	1	02108
UNIVERSITY PRES	1	02108
GOVRNMNT OFFCR	1	02108
EDITORIAL ASST	1	02108
TECH ANALYST	1	02108
SALES AGENT	1	02108
RSRCH SCIENTIST	1	02108
BUSINESS MGMT	1	02108
REAL ESTATE DEV	1	02108
LAW PROFESSOR	1	02108
FUND MNGMT	1	02108
EXECUTING	1	02108
PRIVATE INVESTO	1	02108
AUDIOLOGIST	1	02108
FDRL EMPLOYEE	1	02108
INVESTMENT MGR.	1	02108
CLEANER	1	02108
FINANCIAL ANALY	1	02108
COLLEGE STUDENT	1	02108
BOND TRADER	1	02108
POLICY PROF	1	02108
MANAGER OF I T	1	02108
CONCEIGE	1	02108
INTER DESIGNER	1	02108
SEARCH CONSULTA	1	02108
ACADEMIC ADMIN	1	02108
SECURITY SUPERV	1	02108
ENTERTAINMENT	1	02108
BARTENDER	1	02108
474 rows in set

Bye
